Index Level :;Price
Currency :;USD
;
;
Date;WORLD Standard (Large+Mid Cap) 
Jul 14, 2008;1.341,640
Jul 15, 2008;1.323,966
Jul 16, 2008;1.337,532
Jul 17, 2008;1.359,962
Jul 18, 2008;1.362,520
Jul 21, 2008;1.369,164
Jul 22, 2008;1.377,578
Jul 23, 2008;1.385,423
Jul 24, 2008;1.364,277
Jul 25, 2008;1.360,690
Jul 28, 2008;1.345,797
Jul 29, 2008;1.353,234
Jul 30, 2008;1.374,933
Jul 31, 2008;1.366,699
Aug 01, 2008;1.351,912
Aug 04, 2008;1.338,705
Aug 05, 2008;1.360,736
Aug 06, 2008;1.369,232
Aug 07, 2008;1.352,235
Aug 08, 2008;1.357,828
Aug 11, 2008;1.369,685
Aug 12, 2008;1.357,046
Aug 13, 2008;1.341,668
Aug 14, 2008;1.347,218
Aug 15, 2008;1.342,965
Aug 18, 2008;1.335,283
Aug 19, 2008;1.314,415
Aug 20, 2008;1.322,530
Aug 21, 2008;1.327,634
Aug 22, 2008;1.337,532
Aug 25, 2008;1.324,168
Aug 26, 2008;1.321,829
Aug 27, 2008;1.330,448
Aug 28, 2008;1.347,308
Aug 29, 2008;1.344,865
Sep 01, 2008;1.335,596
Sep 02, 2008;1.328,555
Sep 03, 2008;1.318,194
Sep 04, 2008;1.282,034
Sep 05, 2008;1.269,131
Sep 08, 2008;1.297,560
Sep 09, 2008;1.264,909
Sep 10, 2008;1.264,269
Sep 11, 2008;1.263,082
Sep 12, 2008;1.283,140
Sep 15, 2008;1.236,903
Sep 16, 2008;1.228,090
Sep 17, 2008;1.191,371
Sep 18, 2008;1.216,769
Sep 19, 2008;1.286,437
Sep 22, 2008;1.264,891
Sep 23, 2008;1.249,658
Sep 24, 2008;1.244,026
Sep 25, 2008;1.261,194
Sep 26, 2008;1.250,368
Sep 29, 2008;1.163,530
Sep 30, 2008;1.182,443
Okt 01, 2008;1.184,288
Okt 02, 2008;1.141,415
Okt 03, 2008;1.138,674
Okt 06, 2008;1.072,994
Okt 07, 2008;1.039,719
Okt 08, 2008;1.003,687
Okt 09, 2008;958,045
Okt 10, 2008;910,331
Okt 13, 2008;997,024
Okt 14, 2008;1.022,589
Okt 15, 2008;950,362
Okt 16, 2008;937,095
Okt 17, 2008;950,774
Okt 20, 2008;989,590
Okt 21, 2008;972,119
Okt 22, 2008;909,839
Okt 23, 2008;910,683
Okt 24, 2008;871,637
Okt 27, 2008;834,035
Okt 28, 2008;892,187
Okt 29, 2008;924,289
Okt 30, 2008;952,147
Okt 31, 2008;957,245
Nov 03, 2008;961,493
Nov 04, 2008;1.007,645
Nov 05, 2008;982,978
Nov 06, 2008;925,090
Nov 07, 2008;939,279
Nov 10, 2008;940,755
Nov 11, 2008;906,284
Nov 12, 2008;869,979
Nov 13, 2008;893,951
Nov 14, 2008;879,420
Nov 17, 2008;858,826
Nov 18, 2008;861,512
Nov 19, 2008;821,634
Nov 20, 2008;771,523
Nov 21, 2008;794,839
Nov 24, 2008;849,286
Nov 25, 2008;863,237
Nov 26, 2008;876,872
Nov 27, 2008;884,744
Nov 28, 2008;892,926
Dez 01, 2008;830,331
Dez 02, 2008;846,743
Dez 03, 2008;860,188
Dez 04, 2008;844,577
Dez 05, 2008;848,399
Dez 08, 2008;894,885
Dez 09, 2008;887,652
Dez 10, 2008;899,093
Dez 11, 2008;892,292
Dez 12, 2008;885,367
Dez 15, 2008;891,240
Dez 16, 2008;917,068
Dez 17, 2008;928,125
Dez 18, 2008;919,440
Dez 19, 2008;906,919
Dez 22, 2008;892,734
Dez 23, 2008;888,309
Dez 24, 2008;887,960
Dez 25, 2008;889,127
Dez 26, 2008;893,419
Dez 29, 2008;901,077
Dez 30, 2008;915,973
Dez 31, 2008;920,226
Jan 01, 2009;920,226
Jan 02, 2009;945,966
Jan 05, 2009;945,268
Jan 06, 2009;949,688
Jan 07, 2009;939,603
Jan 08, 2009;938,555
Jan 09, 2009;922,635
Jan 12, 2009;902,582
Jan 13, 2009;889,419
Jan 14, 2009;862,248
Jan 15, 2009;853,347
Jan 16, 2009;865,830
Jan 19, 2009;859,615
Jan 20, 2009;822,615
Jan 21, 2009;838,425
Jan 22, 2009;830,424
Jan 23, 2009;825,383
Jan 26, 2009;841,917
Jan 27, 2009;854,458
Jan 28, 2009;878,831
Jan 29, 2009;857,929
Jan 30, 2009;838,827
Feb 02, 2009;828,892
Feb 03, 2009;843,769
Feb 04, 2009;847,952
Feb 05, 2009;852,944
Feb 06, 2009;870,739
Feb 09, 2009;876,937
Feb 10, 2009;846,423
Feb 11, 2009;845,040
Feb 12, 2009;837,684
Feb 13, 2009;837,018
Feb 16, 2009;831,044
Feb 17, 2009;796,667
Feb 18, 2009;791,383
Feb 19, 2009;790,180
Feb 20, 2009;772,839
Feb 23, 2009;757,294
Feb 24, 2009;767,788
Feb 25, 2009;763,810
Feb 26, 2009;763,753
Feb 27, 2009;750,863
Mrz 02, 2009;713,850
Mrz 03, 2009;705,351
Mrz 04, 2009;722,385
Mrz 05, 2009;700,456
Mrz 06, 2009;697,500
Mrz 09, 2009;688,638
Mrz 10, 2009;725,262
Mrz 11, 2009;730,950
Mrz 12, 2009;745,532
Mrz 13, 2009;756,410
Mrz 16, 2009;765,186
Mrz 17, 2009;778,582
Mrz 18, 2009;788,829
Mrz 19, 2009;803,110
Mrz 20, 2009;789,933
Mrz 23, 2009;830,155
Mrz 24, 2009;824,073
Mrz 25, 2009;829,440
Mrz 26, 2009;841,527
Mrz 27, 2009;824,692
Mrz 30, 2009;792,647
Mrz 31, 2009;805,216
Apr 01, 2009;817,556
Apr 02, 2009;852,757
Apr 03, 2009;854,898
Apr 06, 2009;848,543
Apr 07, 2009;832,787
Apr 08, 2009;835,519
Apr 09, 2009;861,371
Apr 10, 2009;861,956
Apr 13, 2009;866,414
Apr 14, 2009;861,859
Apr 15, 2009;863,482
Apr 16, 2009;875,592
Apr 17, 2009;881,268
Apr 20, 2009;849,118
Apr 21, 2009;856,379
Apr 22, 2009;857,492
Apr 23, 2009;863,998
Apr 24, 2009;882,259
Apr 27, 2009;876,428
Apr 28, 2009;866,307
Apr 29, 2009;886,035
Apr 30, 2009;893,025
Mai 01, 2009;896,220
Mai 04, 2009;921,533
Mai 05, 2009;922,554
Mai 06, 2009;934,772
Mai 07, 2009;933,917
Mai 08, 2009;953,567
Mai 11, 2009;943,518
Mai 12, 2009;941,637
