BuyerRef;DeliveryDate;TotalPrice;PaymentDuration
1075;2012-01-01;20764;5
1075;2012-01-01;19847;5
1095;2012-01-01;20654;5
1024;2012-01-01;20433;6
1057;2012-01-01;27380;20
1028;2012-01-01;25441;28
1095;2012-01-02;20404;5
1069;2012-01-02;26177;7
1094;2012-01-02;26004;5
1069;2012-01-02;26177;6
1062;2012-01-02;21754;7
1044;2012-01-02;24951;17
1074;2012-01-02;22655;22
1085;2012-01-02;22205;24
1090;2012-01-02;23508;21
1003;2012-01-02;25601;19
1070;2012-01-02;27381;24
1016;2012-01-02;18822;14
1049;2012-01-02;19220;13
1038;2012-01-02;24888;19
1039;2012-01-02;21566;26
1081;2012-01-02;21270;22
1028;2012-01-02;24599;29
1081;2012-01-02;22919;22
1081;2012-01-02;21013;28
1007;2012-01-03;20276;7
1075;2012-01-03;19615;6
1007;2012-01-03;22771;7
1094;2012-01-03;19121;6
1093;2012-01-03;20252;7
1076;2012-01-03;25089;25
1019;2012-01-03;26259;19
1067;2012-01-03;18524;15
1077;2012-01-03;19715;18
1089;2012-01-03;24054;24
1004;2012-01-03;20433;18
1027;2012-01-03;25349;17
1040;2012-01-03;20401;22
1066;2012-01-03;24082;18
1017;2012-01-03;23230;13
1092;2012-01-03;20821;26
1014;2012-01-03;26963;23
1093;2012-01-04;21308;6
1093;2012-01-04;21077;5
1078;2012-01-04;22023;7
1093;2012-01-04;24617;5
1058;2012-01-04;27082;14
1043;2012-01-04;26929;15
1079;2012-01-04;23969;22
1081;2012-01-04;24024;23
1092;2012-01-04;25337;22
1092;2012-01-04;23861;25
1028;2012-01-04;21801;21
1030;2012-01-05;22197;7
1026;2012-01-05;25358;22
1090;2012-01-05;18033;16
1035;2012-01-05;22379;16
1018;2012-01-05;22965;22
1017;2012-01-05;20824;29
1075;2012-01-06;24184;7
1075;2012-01-06;18754;5
1069;2012-01-06;24249;5
1095;2012-01-06;21196;6
1051;2012-01-06;19580;6
1052;2012-01-06;26981;18
1070;2012-01-06;22307;10
1056;2012-01-06;26019;13
1068;2012-01-06;26852;18
1053;2012-01-06;25917;16
1009;2012-01-06;18162;19
1050;2012-01-06;21379;23
1067;2012-01-06;25029;14
1023;2012-01-06;24404;15
1028;2012-01-06;22720;25
1081;2012-01-06;18339;23
1069;2012-01-07;27735;6
1095;2012-01-07;27228;6
1007;2012-01-07;23839;7
1018;2012-01-07;19836;24
1032;2012-01-07;20575;22
1036;2012-01-07;24808;14
1027;2012-01-07;25840;15
1027;2012-01-07;24135;19
1070;2012-01-07;18939;20
1072;2012-01-07;26642;20
1080;2012-01-07;22777;14
1028;2012-01-07;21496;27
1028;2012-01-07;18350;27
1039;2012-01-07;19484;27
1001;2012-01-08;23681;7
1062;2012-01-08;18021;7
1078;2012-01-08;24653;6
1064;2012-01-08;26805;7
1062;2012-01-08;18965;6
1095;2012-01-08;22198;7
1029;2012-01-08;21469;20
1035;2012-01-08;23233;18
1049;2012-01-08;18805;10
1031;2012-01-08;25970;17
1061;2012-01-08;21426;16
1061;2012-01-08;19583;18
1044;2012-01-08;19520;21
1053;2012-01-08;24485;21
1044;2012-01-08;22363;16
1039;2012-01-08;22842;24
1039;2012-01-08;21753;23
1014;2012-01-08;26290;24
1095;2012-01-09;26375;6
1093;2012-01-09;24176;7
1069;2012-01-09;26087;7
1057;2012-01-09;18720;15
1008;2012-01-09;23500;12
1006;2012-01-09;18771;15
1058;2012-01-09;22015;16
1075;2012-01-10;26967;4
1030;2012-01-10;23833;7
1062;2012-01-10;18045;7
1035;2012-01-10;19387;13
1036;2012-01-10;20963;15
1045;2012-01-10;26258;20
1080;2012-01-10;26718;14
1081;2012-01-10;24432;21
1069;2012-01-11;23116;6
1064;2012-01-11;21013;5
1064;2012-01-11;19619;7
1070;2012-01-11;23199;18
1026;2012-01-11;18699;19
1060;2012-01-11;21716;18
1033;2012-01-11;18178;20
1060;2012-01-11;22164;21
1039;2012-01-11;24573;25
1081;2012-01-11;20638;28
1081;2012-01-11;22510;29
1095;2012-01-12;25443;7
1062;2012-01-12;19514;7
1074;2012-01-12;24840;19
1025;2012-01-12;25543;23
1091;2012-01-12;23561;14
1085;2012-01-12;20416;29
1014;2012-01-12;22137;27
1028;2012-01-12;27136;24
1062;2012-01-13;23222;6
1069;2012-01-13;26299;6
1098;2012-01-13;24171;7
1084;2012-01-13;23206;24
1055;2012-01-13;19522;17
1039;2012-01-13;25660;31
1039;2012-01-13;26130;30
1069;2012-01-14;27101;5
1069;2012-01-14;21895;7
1062;2012-01-14;23583;7
1024;2012-01-14;20280;6
1047;2012-01-14;19383;18
1034;2012-01-14;22608;15
1072;2012-01-14;20438;25
1043;2012-01-14;24547;11
1092;2012-01-14;22726;27
1039;2012-01-14;25507;25
1039;2012-01-14;21372;22
1069;2012-01-15;26998;4
1030;2012-01-15;26932;7
1001;2012-01-15;27405;6
1030;2012-01-15;22225;5
1069;2012-01-15;26257;5
1038;2012-01-15;26929;22
1089;2012-01-15;27686;17
1029;2012-01-15;27517;20
1085;2012-01-15;22582;27
1045;2012-01-15;24793;17
1039;2012-01-15;21569;28
1039;2012-01-15;23886;23
1028;2012-01-15;25982;25
1078;2012-01-16;21534;6
1096;2012-01-16;21590;19
1009;2012-01-16;23996;16
1039;2012-01-16;23846;27
1092;2012-01-16;25252;28
1081;2012-01-16;26278;29
1081;2012-01-16;20859;25
1073;2012-01-17;24326;7
1071;2012-01-17;26311;7
1023;2012-01-17;27260;18
1059;2012-01-17;25213;14
1091;2012-01-17;25387;20
1004;2012-01-17;23974;14
1060;2012-01-17;25305;19
1059;2012-01-18;23069;11
1032;2012-01-18;27633;19
1028;2012-01-18;21765;26
1039;2012-01-18;21661;30
